t,theta1,omega1,theta2,omega2,x2,y2,energy
0,1.570796327,0,0,0,1,-1,-9.81
0.005,1.570673702,-0.04905000015,7.518445311e-09,6.014756254e-06,1,-1.000122625,-9.81
0.01,1.570305827,-0.09810000474,1.202951263e-07,4.811805112e-05,1,-1.0004905,-9.81
0.015,1.569692702,-0.1471500359,6.089941065e-07,0.0001623984384,1,-1.001103625,-9.81
0.02,1.568834326,-0.1962001514,1.924722368e-06,0.0003849445485,1,-1.001961999,-9.81
0.025,1.5677307,-0.2452504628,4.699030532e-06,0.0007518452422,1,-1.003065622,-9.81
0.03,1.566381821,-0.2943011534,9.743914677e-06,0.001299189906,1,-1.004414491,-9.81
0.035,1.564787687,-0.3433524979,1.805182011e-05,0.002063068943,1,-1.006008603,-9.81
0.04,1.562948294,-0.3924048812,3.079564814e-05,0.003079574506,1,-1.007847951,-9.81
0.045,1.560863636,-0.4414588187,4.932876736e-05,0.004384801547,1,-1.009932526,-9.81
0.05,1.558533702,-0.4905149776,7.518503096e-05,0.006014849233,1,-1.012262314,-9.81
0.055,1.555958481,-0.5395741982,0.0001100788023,0.008005822812,1,-1.014837295,-9.81
0.06,1.553137954,-0.5886375172,0.000155904991,0.010393836,1,-1.017657443,-9.81
0.065,1.550072097,-0.6377061915,0.0002147391027,0.013215014,0.9999999999,-1.020722723,-9.81
0.07,1.54676088,-0.6867817238,0.000288837305,0.01650549717,0.9999999999,-1.024033091,-9.81
0.075,1.543204265,-0.7358658892,0.0003806365148,0.02030144562,0.9999999997,-1.027588488,-9.81
0.08,1.539402204,-0.7849607633,0.0004927545099,0.02463904461,0.9999999995,-1.031388845,-9.809999999
0.085,1.535354636,-0.8340687523,0.0006279900708,0.02955451115,0.999999999,-1.035434074,-9.809999999
0.09,1.53106149,-0.8831926245,0.0007893231582,0.0350841017,0.9999999983,-1.039724071,-9.809999999
0.095,1.526522678,-0.932335544,0.0009799151323,0.04126412132,0.9999999971,-1.044258706,-9.809999999
0.1,1.521738097,-0.9815011063,0.001203109022,0.04813093434,0.9999999951,-1.049037831,-9.809999999
0.105,1.516707622,-1.030693376,0.001462429852,0.05572097676,0.9999999919,-1.054061265,-9.809999999
0.11,1.511431111,-1.079916927,0.001761585035,0.0640707706,0.9999999871,-1.059328801,-9.809999999
0.115,1.505908392,-1.129176885,0.002104464843,0.07321694047,0.9999999798,-1.064840195,-9.809999998
0.12,1.500139272,-1.178478973,0.002495142967,0.08319623245,0.999999969,-1.070595165,-9.809999998
0.125,1.494123522,-1.227829559,0.002937877175,0.09404553583,0.9999999531,-1.076593388,-9.809999998
0.13,1.487860883,-1.277235706,0.003437110093,0.1058019076,0.9999999303,-1.082834493,-9.809999998
