t,theta1,omega1,theta2,omega2,x2,y2,energy
0,0.1745329252,0,0.1745329252,0,0.3472963553,-1.969615506,-28.98289217
0.005,0.1745116324,-0.008516757389,0.1745329243,-6.857277466e-07,0.3472753852,-1.969619203,-28.98289217
0.01,0.1744477645,-0.01702940111,0.1745329115,-5.484936323e-06,0.3472124743,-1.969630293,-28.98289217
0.015,0.1743413521,-0.02553382014,0.1745328558,-1.850768728e-05,0.3471076212,-1.969648766,-28.98289217
0.02,0.1741924468,-0.03402590878,0.1745327059,-4.385720216e-05,0.3469608235,-1.96967461,-28.98289217
0.025,0.1740011204,-0.04250156932,0.1745323898,-8.562643873e-05,0.3467720781,-1.969707807,-28.98289217
0.03,0.1737674653,-0.05095671464,0.1745318154,-0.0001478946627,0.3465413808,-1.969748331,-28.98289217
0.035,0.1734915943,-0.05938727095,0.17453087,-0.0002347240139,0.3462687266,-1.969796154,-28.98289217
0.04,0.1731736404,-0.0677891804,0.1745294205,-0.0003501560651,0.3459541096,-1.969851242,-28.98289217
0.045,0.172813757,-0.07615840377,0.174527314,-0.000498208373,0.3455975234,-1.969913555,-28.98289217
0.05,0.1724121175,-0.08449092311,0.1745243774,-0.0006828710209,0.3451989606,-1.96998305,-28.98289217
0.055,0.1719689156,-0.09278274445,0.1745204177,-0.0009081031513,0.3447584132,-1.970059676,-28.98289217
0.06,0.1714843645,-0.1010299004,0.1745152222,-0.001177829489,0.3442758728,-1.97014338,-28.98289217
0.065,0.1709586976,-0.109228453,0.1745085588,-0.001495936854,0.3437513302,-1.970234103,-28.98289217
0.07,0.1703921675,-0.1173744961,0.1745001758,-0.001866270667,0.3431847761,-1.970331783,-28.98289217
0.075,0.1697850466,-0.1254641583,0.1744898027,-0.002292631443,0.3425762004,-1.970436351,-28.98289217
0.08,0.1691376263,-0.1334936054,0.1744771498,-0.002778771275,0.3419255933,-1.970547736,-28.98289217
0.085,0.1684502172,-0.1414590433,0.1744619092,-0.003328390322,0.3412329443,-1.970665861,-28.98289217
0.09,0.1677231488,-0.1493567206,0.1744437541,-0.003945133274,0.3404982432,-1.970790648,-28.98289217
0.095,0.1669567691,-0.157182931,0.17442234,-0.004632585831,0.3397214797,-1.970922013,-28.98289217
0.1,0.1661514447,-0.1649340163,0.1743973045,-0.005394271171,0.3389026438,-1.971059868,-28.98289217
0.105,0.1653075602,-0.1726063689,0.1743682678,-0.006233646423,0.3380417256,-1.971204123,-28.98289217
0.11,0.1644255182,-0.1801964344,0.1743348329,-0.007154099146,0.3371387159,-1.971354685,-28.98289217
0.115,0.1635057388,-0.1877007142,0.1742965861,-0.008158943815,0.3361936058,-1.971511455,-28.98289217
0.12,0.1625486597,-0.1951157682,0.1742530974,-0.009251418322,0.3352063871,-1.971674336,-28.98289217
0.125,0.1615547355,-0.2024382173,0.1742039206,-0.01043468049,0.3341770527,-1.971843223,-28.98289217
0.13,0.1605244374,-0.209664746,0.1741485941,-0.01171180463,0.3331055963,-1.972018014,-28.98289217
0.135,0.1594582533,-0.2167921048,0.1740866411,-0.01308577807,0.3319920125,-1.9721986,-28.98289217
0.14,0.158356687,-0.2238171129,0.1740175701,-0.01455949778,0.3308362977,-1.972384873,-28.98289217
0.145,0.157220258,-0.2307366605,0.1739408752,-0.01613576703,0.3296384493,-1.972576721,-28.98289217
0.15,0.1560495012,-0.2375477112,0.173856037,-0.017817292,0.3283984665,-1.972774032,-28.98289217
0.155,0.1548449666,-0.2442473045,0.1737625225,-0.0196066786,0.3271163504,-1.972976693,-28.98289217
0.16,0.1536072188,-0.2508325581,0.1736597862,-0.02150642918,0.3257921036,-1.973184587,-28.98289217
0.165,0.1523368363,-0.2573006701,0.1735472703,-0.02351893942,0.3244257314,-1.973397598,-28.98289217
0.17,0.1510344118,-0.2636489213,0.1734244051,-0.02564649525,0.3230172408,-1.973615609,-28.98289217
0.175,0.1497005513,-0.2698746773,0.1732906099,-0.02789126982,0.3215666418,-1.973838501,-28.98289217
0.18,0.1483358735,-0.2759753906,0.1731452936,-0.03025532062,0.3200739467,-1.974066157,-28.98289217
0.185,0.1469410099,-0.2819486029,0.1729878547,-0.03274058661,0.3185391706,-1.974298457,-28.98289217
0.19,0.1455166039,-0.2877919466,0.1728176826,-0.03534888552,0.3169623319,-1.974535281,-28.98289217
0.195,0.1440633107,-0.293503147,0.1726341579,-0.03808191119,0.3153434519,-1.974776511,-28.98289217
0.2,0.1425817963,-0.2990800238,0.172436653,-0.04094123109,0.3136825553,-1.975022027,-28.98289217
0.205,0.1410727378,-0.3045204933,0.1722245327,-0.04392828388,0.3119796705,-1.97527171,-28.98289217
0.21,0.1395368221,-0.3098225697,0.1719971551,-0.04704437718,0.3102348295,-1.975525441,-28.98289217
0.215,0.1379747459,-0.3149843665,0.1717538719,-0.05029068537,0.3084480682,-1.975783103,-28.98289217
0.22,0.1363872152,-0.3200040983,0.1714940295,-0.05366824763,0.3066194268,-1.976044576,-28.98289217
0.225,0.1347749445,-0.3248800818,0.1712169691,-0.05717796604,0.3047489496,-1.976309744,-28.98289217
0.23,0.1331386566,-0.3296107374,0.1709220282,-0.06082060385,0.3028366853,-1.97657849,-28.98289217
0.235,0.1314790818,-0.3341945898,0.1706085405,-0.06459678394,0.3008826874,-1.9768507,-28.98289217
0.24,0.1297969577,-0.3386302697,0.170275837,-0.06850698738,0.2988870143,-1.977126257,-28.98289217
0.245,0.1280930282,-0.3429165141,0.1699232467,-0.07255155217,0.2968497292,-1.977405049,-28.98289217
0.25,0.1263680435,-0.3470521676,0.1695500972,-0.07673067219,0.2947709005,-1.977686961,-28.98289217
0.255,0.1246227593,-0.3510361826,0.1691557156,-0.08104439618,0.2926506022,-1.977971883,-28.98289217
0.26,0.122857936,-0.3548676203,0.1687394291,-0.08549262709,0.2904889135,-1.978259702,-28.98289217
0.265,0.1210743388,-0.3585456511,0.1683005655,-0.09007512139,0.2882859196,-1.978550309,-28.98289217
0.27,0.1192727364,-0.3620695546,0.1678384547,-0.09479148874,0.2860417115,-1.978843595,-28.98289217
0.275,0.1174539011,-0.3654387205,0.1673524284,-0.09964119165,0.283756386,-1.979139451,-28.98289217
0.28,0.1156186079,-0.3686526479,0.1668418217,-0.1046235455,0.2814300464,-1.97943777,-28.98289217
0.285,0.113767634,-0.3717109461,0.1663059732,-0.1097377186,0.2790628022,-1.979738445,-28.98289217
0.29,0.1119017583,-0.374613334,0.1657442264,-0.1149827323,0.2766547695,-1.98004137,-28.98289217
0.295,0.1100217608,-0.3773596401,0.1651559297,-0.1203574619,0.2742060711,-1.98034644,-28.98289217
0.3,0.1081284222,-0.3799498021,0.1645404377,-0.1258606365,0.2717168364,-1.980653551,-28.98289217
0.305,0.106222523,-0.3823838666,0.1638971116,-0.1314908406,0.2691872022,-1.980962598,-28.98289217
0.31,0.1043048434,-0.3846619885,0.1632253201,-0.1372465144,0.266617312,-1.981273477,-28.98289217
0.315,0.1023761626,-0.3867844303,0.1625244402,-0.1431259552,0.2640073168,-1.981586085,-28.98289217
0.32,0.100437258,-0.3887515615,0.1617938574,-0.1491273185,0.2613573749,-1.981900318,-28.98289217
0.325,0.09848890506,-0.3905638579,0.1610329671,-0.1552486196,0.2586676522,-1.982216073,-28.98289217
0.33,0.09653187653,-0.3922219004,0.1602411748,-0.1614877349,0.2559383222,-1.982533246,-28.98289217
0.335,0.09456694202,-0.3937263743,0.1594178971,-0.1678424036,0.2531695663,-1.982851734,-28.98289217
0.34,0.09259486744,-0.3950780679,0.1585625621,-0.1743102299,0.2503615737,-1.983171431,-28.98289217
0.345,0.0906164145,-0.3962778718,0.1576746104,-0.1808886843,0.2475145417,-1.983492232,-28.98289217
0.35,0.08863234023,-0.3973267772,0.1567534953,-0.1875751062,0.2446286758,-1.983814032,-28.98289217
0.355,0.08664339642,-0.3982258749,0.155798684,-0.194366706,0.2417041896,-1.984136723,-28.98289217
0.36,0.08465032919,-0.398976354,0.1548096578,-0.201260567,0.2387413055,-1.984460198,-28.98289217
0.365,0.08265387845,-0.3995795001,0.153785913,-0.2082536485,0.2357402538,-1.984784346,-28.98289217
0.37,0.08065477746,-0.4000366942,0.1527269612,-0.2153427876,0.232701274,-1.985109056,-28.98289217
0.375,0.07865375232,-0.4003494109,0.1516323305,-0.2225247023,0.2296246138,-1.985434216,-28.98289217
0.38,0.07665152155,-0.4005192169,0.1505015652,-0.229795994,0.22651053,-1.985759711,-28.98289217
0.385,0.07464879558,-0.4005477694,0.1493342274,-0.23715315,0.2233592882,-1.986085423,-28.98289217
0.39,0.07264627638,-0.4004368144,0.1481298966,-0.2445925471,0.2201711631,-1.986411233,-28.98289217
0.395,0.07064465691,-0.4001881849,0.1468881711,-0.2521104536,0.2169464383,-1.98673702,-28.98289217
0.4,0.0686446208,-0.399803799,0.1456086676,-0.2597030328,0.2136854068,-1.987062658,-28.98289217
0.405,0.06664684186,-0.3992856587,0.1442910228,-0.267366346,0.2103883705,-1.98738802,-28.98289217
0.41,0.06465198368,-0.3986358472,0.142934893,-0.2750963556,0.207055641,-1.987712976,-28.98289217
0.415,0.06266069924,-0.3978565275,0.141539955,-0.2828889278,0.2036875392,-1.988037393,-28.98289217
0.42,0.06067363052,-0.3969499409,0.1401059065,-0.2907398364,0.2002843953,-1.988361132,-28.98289217
0.425,0.05869140809,-0.3959184041,0.1386324666,-0.2986447658,0.1968465495,-1.988684054,-28.98289217
0.43,0.05671465076,-0.3947643082,0.1371193761,-0.3065993139,0.1933743512,-1.989006014,-28.98289217
0.435,0.05474396518,-0.3934901162,0.1355663982,-0.3145989959,0.1898681597,-1.989326864,-28.98289217
0.44,0.05277994554,-0.3920983612,0.1339733185,-0.3226392471,0.1863283441,-1.989646452,-28.98289217
0.445,0.05082317318,-0.3905916444,0.1323399458,-0.330715427,0.1827552834,-1.989964623,-28.98289217
0.45,0.04887421627,-0.388972633,0.1306661122,-0.3388228216,0.1791493664,-1.990281216,-28.98289217
0.455,0.04693362947,-0.3872440582,0.1289516736,-0.3469566478,0.1755109918,-1.990596067,-28.98289217
0.46,0.04500195364,-0.385408713,0.1271965098,-0.3551120561,0.1718405685,-1.990909008,-28.98289217
0.465,0.04307971554,-0.3834694506,0.1254005252,-0.3632841344,0.1681385153,-1.991219865,-28.98289217
0.47,0.04116742749,-0.3814291815,0.1235636489,-0.3714679112,0.1644052614,-1.991528461,-28.98289217
0.475,0.03926558713,-0.379290872,0.121685835,-0.3796583595,0.160641246,-1.991834616,-28.98289217
0.48,0.03737467714,-0.377057542,0.1197670627,-0.3878503996,0.1568469184,-1.992138142,-28.98289217
0.485,0.03549516497,-0.3747322625,0.1178073369,-0.3960389031,0.1530227384,-1.99243885,-28.98289217
0.49,0.03362750257,-0.3723181534,0.1158066882,-0.4042186964,0.149169176,-1.992736545,-28.98289217
0.495,0.03177212621,-0.3698183819,0.1137651731,-0.4123845639,0.1452867116,-1.993031028,-28.98289217
0.5,0.02992945618,-0.3672361592,0.1116828745,-0.4205312521,0.141375836,-1.993322095,-28.98289217
0.505,0.02809989662,-0.3645747392,0.1095599014,-0.4286534726,0.1374370503,-1.993609539,-28.98289217
0.51,0.0262838353,-0.3618374156,0.1073963894,-0.4367459062,0.1334708661,-1.993893149,-28.98289217
0.515,0.02448164342,-0.3590275197,0.1051925008,-0.4448032061,0.1294778055,-1.994172708,-28.98289217
0.52,0.02269367545,-0.3561484177,0.1029484248,-0.4528200022,0.1254584011,-1.994447999,-28.98289217
0.525,0.02092026893,-0.353203509,0.1006643773,-0.460790904,0.1214131957,-1.994718798,-28.98289217
0.53,0.01916174433,-0.3501962226,0.09834060129,-0.468710505,0.1173427431,-1.994984878,-28.98289217
0.535,0.0174184049,-0.3471300157,0.0959773668,-0.4765733864,0.113247607,-1.99524601,-28.98289217
0.54,0.01569053657,-0.3440083701,0.093574971,-0.4843741206,0.1091283622,-1.995501962,-28.98289217
0.545,0.01397840776,-0.3408347905,0.09113373822,-0.4921072753,0.1049855934,-1.995752498,-28.98289217
0.55,0.01228226935,-0.3376128007,0.08865401994,-0.4997674174,0.1008198962,-1.995997379,-28.98289217
0.555,0.01060235454,-0.334345942,0.08613619479,-0.507349117,0.09663187642,-1.996236367,-28.98289217
0.56,0.008938878787,-0.3310377695,0.08358066855,-0.5148469513,0.0924221503,-1.996469217,-28.98289217
0.565,0.007292039756,-0.3276918496,0.08098787407,-0.5222555089,0.08819134451,-1.996695687,-28.98289217
0.57,0.005662017246,-0.3243117569,0.07835827125,-0.5295693936,0.08394009598,-1.996915532,-28.98289217
0.575,0.004048973174,-0.3209010716,0.07569234689,-0.536783229,0.07966905195,-1.997128505,-28.98289217
0.58,0.002453051547,-0.3174633757,0.07299061463,-0.5438916622,0.07537886982,-1.997334359,-28.98289217
0.585,0.0008743784647,-0.3140022506,0.07025361482,-0.5508893689,0.07107021715,-1.997532847,-28.98289217
0.59,-0.0006869378732,-0.3105212734,0.06748191431,-0.5577710568,0.06674377153,-1.997723724,-28.98289217
0.595,-0.002230807134,-0.307024014,0.06467610638,-0.5645314708,0.06240022051,-1.997906741,-28.98289217
0.6,-0.00375715681,-0.3035140314,0.06183681043,-0.5711653971,0.05804026148,-1.998081655,-28.98289217
0.605,-0.005265932154,-0.2999948707,0.05896467184,-0.5776676679,0.05366460158,-1.998248222,-28.98289217
0.61,-0.006757096103,-0.2964700594,0.05606036171,-0.5840331659,0.04927395756,-1.9984062,-28.98289217
0.615,-0.008230629179,-0.2929431041,0.05312457658,-0.5902568289,0.04486905564,-1.99855535,-28.98289217
0.62,-0.009686529378,-0.2894174866,0.05015803816,-0.5963336547,0.0404506314,-1.998695435,-28.98289217
0.625,-0.01112481204,-0.2858966608,0.047161493,-0.6022587055,0.03601942956,-1.998826223,-28.98289217
0.63,-0.01254550968,-0.2823840487,0.04413571219,-0.608027113,0.03157620388,-1.998947484,-28.98289217
0.635,-0.01394867186,-0.2788830369,0.04108149095,-0.613634083,0.02712171691,-1.999058993,-28.98289217
0.64,-0.01533436497,-0.2753969727,0.03799964829,-0.6190749005,0.02265673986,-1.999160531,-28.98289217
0.645,-0.01670267202,-0.2719291607,0.03489102659,-0.6243449341,0.01818205232,-1.999251883,-28.98289217
0.65,-0.01805369243,-0.2684828584,0.03175649117,-0.6294396415,0.01369844211,-1.999332842,-28.98289217
0.655,-0.0193875418,-0.2650612733,0.02859692982,-0.6343545737,0.009206705018,-1.999403203,-28.98289217
0.66,-0.02070435162,-0.2616675583,0.02541325232,-0.6390853803,0.004707644527,-1.999462773,-28.98289217
0.665,-0.022004269,-0.2583048085,0.02220638998,-0.6436278145,0.0002020715987,-1.999511364,-28.98289217
0.67,-0.02328745638,-0.2549760572,0.01897729505,-0.6479777375,-0.004309195624,-1.999548796,-28.98289217
