t,theta1,omega1,theta2,omega2,x2,y2,energy
0,1.570796327,0,0,0,1,-1,-2.4525
0.005,1.570673702,-0.04905000001,7.518445305e-09,6.01475623e-06,1,-1.000122625,-2.4525
0.01,1.570305827,-0.09810000046,1.202951231e-07,4.811804831e-05,1,-1.0004905,-2.4525
0.015,1.569692702,-0.1471500036,6.089940192e-07,0.0001623983908,1,-1.001103625,-2.4525
0.02,1.568834327,-0.1962000152,1.924721484e-06,0.0003849441919,1,-1.001961999,-2.4525
0.025,1.567730702,-0.2452500468,4.699025235e-06,0.0007518435407,1,-1.00306562,-2.4525
0.03,1.566381826,-0.2943001172,9.743891843e-06,0.001299183802,1,-1.004414486,-2.4525
0.035,1.5647877,-0.3433502553,1.805174159e-05,0.002063050959,1,-1.00600859,-2.4525
0.04,1.562948323,-0.3924005022,3.079541922e-05,0.003079528628,1,-1.007847922,-2.4525
0.045,1.560863695,-0.4414509141,4.932817893e-05,0.0043846967,1,-1.009932467,-2.4525
0.05,1.558533814,-0.4905015652,7.518366137e-05,0.006014629523,1,-1.012262203,-2.4525
0.055,1.555958679,-0.5395525511,0.0001100758603,0.008005393577,1,-1.014837097,-2.4525
0.06,1.553138288,-0.5886039929,0.0001558990764,0.01039304457,1,-1.017657109,-2.4525
0.065,1.550072638,-0.6376560409,0.0002147278545,0.01321362387,0.9999999999,-1.020722183,-2.4525
0.07,1.546761726,-0.68670888,0.0002888169019,0.01650315426,0.9999999998,-1.024032245,-2.4525
0.075,1.543205547,-0.7357627341,0.0003806009829,0.02029763489,0.9999999996,-1.027587207,-2.4525
0.08,1.539404096,-0.7848178724,0.0004926947865,0.02463303537,0.9999999992,-1.031386953,-2.4525
0.085,1.535357366,-0.8338746156,0.0006278927616,0.02954528895,0.9999999985,-1.035431346,-2.4525
0.09,1.531065347,-0.8829333427,0.0007891689168,0.03507028475,0.9999999973,-1.039720216,-2.4525
0.095,1.526528029,-0.9319944987,0.0009796765775,0.04124385884,0.9999999953,-1.044253361,-2.4525
0.1,1.521745397,-0.9810586026,0.001202748096,0.04810178427,0.9999999921,-1.049030539,-2.4525
0.105,1.516717437,-1.030126256,0.00146189451,0.05567975978,0.9999999871,-1.054051466,-2.4525
0.11,1.511444127,-1.079198155,0.001760805138,0.0640133973,0.9999999794,-1.059315809,-2.4525
0.115,1.505925447,-1.128275094,0.002103347113,0.07313820798,0.9999999678,-1.064823179,-2.4525
0.12,1.500161367,-1.177357985,0.002493564841,0.08308958675,0.9999999505,-1.070573129,-2.4525
0.125,1.494151855,-1.226447863,0.002935679375,0.09390279528,0.9999999252,-1.076565145,-2.4525
0.13,1.487896874,-1.275545901,0.003434087705,0.1056129433,0.9999998888,-1.082798637,-2.4525
0.135,1.48139638,-1.324653421,0.003993361949,0.1182549678,0.999999837,-1.089272935,-2.4525
0.14,1.474650322,-1.373771907,0.00461824843,0.1318636109,0.9999997643,-1.095987279,-2.4525
0.145,1.46765864,-1.422903023,0.005313666644,0.1464733948,0.9999996635,-1.102940814,-2.4525
0.15,1.460421268,-1.47204862,0.006084708092,0.162118595,0.9999995252,-1.110132574,-2.4525
0.155,1.452938126,-1.521210759,0.006936634976,0.1788332109,0.9999993374,-1.117561479,-2.4525
0.16,1.445209129,-1.570391718,0.007874878738,0.1966509337,0.9999990848,-1.125226322,-2.4525
0.165,1.437234174,-1.619594011,0.008905038432,0.2156051112,0.9999987479,-1.133125758,-2.452499999
0.17,1.429013148,-1.668820404,0.01003287892,0.23572871,0.9999983024,-1.141258295,-2.452499999
0.175,1.420545925,-1.718073924,0.01126432884,0.2570542729,0.9999977179,-1.149622276,-2.452499999
0.18,1.411832358,-1.76735788,0.01260547841,0.2796138743,0.9999969568,-1.158215875,-2.452499999
0.185,1.402872289,-1.816675873,0.01406257695,0.3034390692,0.9999959725,-1.167037073,-2.452499999
0.19,1.393665537,-1.866031806,0.01564203011,0.3285608391,0.9999947081,-1.176083652,-2.452499999
0.195,1.384211901,-1.9154299,0.01735039692,0.3550095313,0.9999930937,-1.185353177,-2.452499999
0.2,1.37451116,-1.964874702,0.01919438643,0.3828147932,0.9999910449,-1.194842978,-2.452499999
0.205,1.364563068,-2.01437109,0.02118085399,0.4120054987,0.9999884593,-1.204550135,-2.452499999
0.21,1.354367354,-2.063924278,0.02331679726,0.4426096684,0.9999852137,-1.214471458,-2.452499999
0.215,1.343923721,-2.113539822,0.02560935165,0.4746543795,0.9999811604,-1.224603473,-2.452499999
0.22,1.333231842,-2.163223612,0.02806578543,0.5081656676,0.9999761229,-1.234942397,-2.452499998
0.225,1.322291361,-2.212981868,0.03069349418,0.5431684163,0.9999698912,-1.245484118,-2.452499998
0.23,1.311101889,-2.262821126,0.03349999481,0.5796862347,0.9999622163,-1.256224176,-2.452499998
0.235,1.299663003,-2.312748221,0.03649291876,0.6177413206,0.999952804,-1.267157737,-2.452499998
0.24,1.287974248,-2.362770261,0.03968000464,0.6573543077,0.9999413077,-1.27827957,-2.452499998
0.245,1.27603513,-2.412894591,0.04306908997,0.6985440939,0.9999273208,-1.289584024,-2.452499998
0.25,1.263845119,-2.46312875,0.04666810201,0.7413276492,0.9999103669,-1.301064998,-2.452499998
