t,theta1,omega1,theta2,omega2,x2,y2,energy
0,2.094412556,0,-0.5235987756,0,0.366016677,-0.3660102889,1.314587344
0.005,2.094285122,-0.05097329111,-0.523647821,-0.01961608403,0.366037915,-0.3660961293,1.314587344
0.01,2.09390283,-0.1019422315,-0.5237948949,-0.03920724253,0.3661016003,-0.3663537084,1.314587344
0.015,2.093265714,-0.1529024485,-0.5240398103,-0.05874851644,0.3662076471,-0.3667832001,1.314587344
0.02,2.092373827,-0.2038495257,-0.5243822552,-0.07821487977,0.3663559118,-0.3673848939,1.314587344
0.025,2.091227248,-0.2547789812,-0.5248217924,-0.09758120641,0.3665461936,-0.3681591946,1.314587344
0.03,2.089826075,-0.3056862464,-0.5253578585,-0.1168222373,0.3667782341,-0.3691066223,1.314587344
0.035,2.08817043,-0.3565666442,-0.5259897636,-0.1359125483,0.367051717,-0.3702278115,1.314587343
0.04,2.086260461,-0.4074153689,-0.5267166901,-0.154826518,0.3673662679,-0.3715235111,1.314587343
0.045,2.084096338,-0.4582274655,-0.5275376918,-0.1735382974,0.3677214544,-0.3729945828,1.314587343
0.05,2.081678256,-0.50899781,-0.5284516926,-0.1920217794,0.3681167854,-0.3746420014,1.314587343
0.055,2.079006438,-0.5597210901,-0.5294574851,-0.2102505696,0.3685517111,-0.3764668529,1.314587343
0.06,2.076081133,-0.610391787,-0.5305537293,-0.2281979589,0.3690256226,-0.3784703342,1.314587343
0.065,2.072902617,-0.6610041578,-0.5317389506,-0.2458368964,0.3695378516,-0.3806537514,1.314587343
0.07,2.069471198,-0.7115522186,-0.5330115385,-0.2631399646,0.3700876702,-0.3830185189,1.314587343
0.075,2.065787213,-0.7620297291,-0.5343697442,-0.2800793556,0.3706742905,-0.3855661577,1.314587343
0.08,2.061851029,-0.8124301782,-0.5358116789,-0.2966268496,0.3712968643,-0.3882982938,1.314587343
0.085,2.057663051,-0.8627467707,-0.5373353118,-0.3127537953,0.3719544832,-0.3912166568,1.314587343
0.09,2.053223713,-0.9129724158,-0.5389384675,-0.3284310917,0.3726461777,-0.3943230777,1.314587343
0.095,2.04853349,-0.9630997165,-0.540618824,-0.3436291736,0.3733709179,-0.397619487,1.314587343
0.1,2.043592893,-1.013120962,-0.5423739105,-0.3583179985,0.3741276124,-0.4011079122,1.314587343
0.105,2.038402471,-1.06302812,-0.5442011044,-0.3724670366,0.3749151094,-0.4047904761,1.314587343
0.11,2.032962816,-1.112812833,-0.5460976295,-0.3860452639,0.3757321958,-0.4086693935,1.314587343
0.115,2.027274561,-1.162466416,-0.5480605532,-0.3990211582,0.3765775978,-0.4127469688,1.314587343
0.12,2.021338385,-1.211979856,-0.5500867839,-0.4113626983,0.3774499811,-0.4170255931,1.314587343
0.125,2.015155011,-1.261343814,-0.5521730688,-0.4230373675,0.3783479512,-0.421507741,1.314587343
0.13,2.008725212,-1.310548632,-0.5543159912,-0.4340121598,0.3792700541,-0.426195967,1.314587343
0.135,2.002049807,-1.359584339,-0.5565119681,-0.4442535907,0.3802147766,-0.4310929024,1.314587343
0.14,1.995129668,-1.408440666,-0.5587572482,-0.453727712,0.3811805477,-0.4362012514,1.314587343
0.145,1.987965717,-1.457107054,-0.5610479091,-0.462400131,0.3821657391,-0.4415237867,1.314587342
0.15,1.980558932,-1.505572679,-0.5633798554,-0.4702360338,0.3831686667,-0.4470633459,1.314587342
0.155,1.972910343,-1.55382647,-0.5657488166,-0.4772002135,0.3841875919,-0.4528228267,1.314587342
0.16,1.965021039,-1.601857134,-0.5681503454,-0.4832571033,0.3852207236,-0.4588051823,1.314587342
0.165,1.956892163,-1.649653189,-0.5705798157,-0.4883708143,0.3862662197,-0.4650134164,1.314587342
0.17,1.948524917,-1.697202993,-0.5730324213,-0.4925051779,0.3873221893,-0.4714505784,1.314587343
0.175,1.939920563,-1.744494786,-0.5755031746,-0.4956237935,0.3883866957,-0.4781197576,1.314587343
0.18,1.931080419,-1.791516731,-0.5779869054,-0.4976900813,0.3894577585,-0.4850240781,1.314587343
0.185,1.922005865,-1.83825696,-0.5804782603,-0.4986673395,0.3905333568,-0.4921666925,1.314587343
0.19,1.912698339,-1.88470363,-0.5829717025,-0.498518807,0.3916114327,-0.4995507763,1.314587343
0.195,1.903159338,-1.930844973,-0.5854615108,-0.4972077297,0.3926898951,-0.5071795211,1.314587343
0.2,1.893390417,-1.976669363,-0.587941781,-0.4946974323,0.3937666232,-0.5150561289,1.314587343
0.205,1.883393191,-2.022165382,-0.5904064256,-0.4909513935,0.3948394712,-0.5231838048,1.314587343
0.21,1.873169329,-2.067321887,-0.5928491749,-0.4859333255,0.3959062729,-0.5315657502,1.314587344
0.215,1.862720556,-2.112128089,-0.5952635788,-0.4796072561,0.3969648467,-0.5402051561,1.314587344
0.22,1.85204865,-2.156573634,-0.5976430081,-0.4719376146,0.3980130008,-0.5491051956,1.314587344
0.225,1.841155438,-2.200648688,-0.5999806571,-0.462889319,0.3990485392,-0.5582690166,1.314587344
0.23,1.830042796,-2.244344024,-0.602269546,-0.4524278652,0.4000692672,-0.5676997342,1.314587345
0.235,1.818712644,-2.28765112,-0.6045025241,-0.4405194171,0.4010729983,-0.5774004234,1.314587345
0.24,1.807166945,-2.330562252,-0.6066722733,-0.4271308959,0.4020575605,-0.5873741106,1.314587346
0.245,1.795407693,-2.373070601,-0.6087713125,-0.4122300692,0.4030208034,-0.5976237664,1.314587346
0.25,1.78343692,-2.415170353,-0.6107920013,-0.3957856372,0.4039606052,-0.6081522976,1.314587347
0.255,1.771256679,-2.456856808,-0.6127265456,-0.3777673163,0.4048748805,-0.6189625386,1.314587347
0.26,1.758869046,-2.498126492,-0.6145670026,-0.3581459178,0.4057615878,-0.6300572442,1.314587348
0.265,1.746276112,-2.538977268,-0.6163052862,-0.3368934209,0.4066187375,-0.6414390805,1.314587349
0.27,1.733479973,-2.579408447,-0.6179331736,-0.3139830393,0.4074444,-0.6531106178,1.314587349
0.275,1.720482726,-2.61942091,-0.6194423109,-0.2893892781,0.4082367143,-0.6650743218,1.31458735
0.28,1.707286458,-2.659017217,-0.6208242203,-0.2630879818,0.4089938957,-0.6773325456,1.314587351
0.285,1.69389324,-2.698201728,-0.6220703067,-0.2350563707,0.409714245,-0.689887522,1.314587352
0.29,1.680305116,-2.736980713,-0.6231718645,-0.2052730642,0.4103961567,-0.7027413549,1.314587353
0.295,1.666524095,-2.775362476,-0.6241200845,-0.1737180895,0.4110381276,-0.7158960117,1.314587354
0.3,1.652552136,-2.813357458,-0.6249060615,-0.140372875,0.4116387652,-0.7293533152,1.314587355
0.305,1.638391144,-2.85097836,-0.6255208008,-0.1052202258,0.4121967963,-0.7431149356,1.314587356
0.31,1.624042951,-2.888240248,-0.6259552249,-0.06824428057,0.4127110754,-0.7571823829,1.314587358
0.315,1.609509311,-2.925160664,-0.6262001803,-0.02943044781,0.4131805927,-0.7715569985,1.314587359
