t,theta1,omega1,theta2,omega2,x2,y2,energy
0.0000000000,2.0944125557,0.0000000000,-0.5235987756,0.0000000000,0.3660166770,-0.3660102889,1.3145873436
0.0050000000,2.0942851216,-0.0509732911,-0.5236478210,-0.0196160840,0.3660379150,-0.3660961293,1.3145873436
0.0100000000,2.0939028300,-0.1019422315,-0.5237948949,-0.0392072425,0.3661016003,-0.3663537084,1.3145873436
0.0150000000,2.0932657138,-0.1529024485,-0.5240398103,-0.0587485164,0.3662076471,-0.3667832001,1.3145873436
0.0200000000,2.0923738274,-0.2038495257,-0.5243822552,-0.0782148798,0.3663559118,-0.3673848939,1.3145873435
0.0250000000,2.0912272479,-0.2547789812,-0.5248217924,-0.0975812064,0.3665461936,-0.3681591946,1.3145873435
0.0300000000,2.0898260746,-0.3056862464,-0.5253578585,-0.1168222373,0.3667782341,-0.3691066223,1.3145873435
0.0350000000,2.0881704302,-0.3565666442,-0.5259897636,-0.1359125483,0.3670517170,-0.3702278115,1.3145873435
0.0400000000,2.0862604609,-0.4074153689,-0.5267166901,-0.1548265180,0.3673662679,-0.3715235111,1.3145873434
0.0450000000,2.0840963375,-0.4582274655,-0.5275376918,-0.1735382974,0.3677214544,-0.3729945828,1.3145873434
0.0500000000,2.0816782559,-0.5089978100,-0.5284516926,-0.1920217794,0.3681167854,-0.3746420014,1.3145873434
0.0550000000,2.0790064379,-0.5597210901,-0.5294574851,-0.2102505696,0.3685517111,-0.3764668529,1.3145873433
0.0600000000,2.0760811326,-0.6103917870,-0.5305537293,-0.2281979589,0.3690256226,-0.3784703342,1.3145873433
0.0650000000,2.0729026172,-0.6610041578,-0.5317389506,-0.2458368964,0.3695378516,-0.3806537514,1.3145873432
0.0700000000,2.0694711982,-0.7115522186,-0.5330115385,-0.2631399646,0.3700876702,-0.3830185189,1.3145873432
0.0750000000,2.0657872126,-0.7620297291,-0.5343697442,-0.2800793556,0.3706742905,-0.3855661577,1.3145873431
0.0800000000,2.0618510293,-0.8124301782,-0.5358116789,-0.2966268496,0.3712968643,-0.3882982938,1.3145873431
0.0850000000,2.0576630505,-0.8627467707,-0.5373353118,-0.3127537953,0.3719544832,-0.3912166568,1.3145873430
0.0900000000,2.0532237131,-0.9129724158,-0.5389384675,-0.3284310917,0.3726461777,-0.3943230777,1.3145873430
0.0950000000,2.0485334902,-0.9630997165,-0.5406188240,-0.3436291736,0.3733709179,-0.3976194870,1.3145873429
0.1000000000,2.0435928927,-1.0131209619,-0.5423739105,-0.3583179985,0.3741276124,-0.4011079122,1.3145873429
0.1050000000,2.0384024707,-1.0630281198,-0.5442011044,-0.3724670366,0.3749151094,-0.4047904761,1.3145873428
0.1100000000,2.0329628156,-1.1128128330,-0.5460976295,-0.3860452639,0.3757321958,-0.4086693935,1.3145873428
0.1150000000,2.0272745609,-1.1624664160,-0.5480605532,-0.3990211582,0.3765775978,-0.4127469688,1.3145873427
0.1200000000,2.0213383849,-1.2119798557,-0.5500867839,-0.4113626983,0.3774499811,-0.4170255931,1.3145873427
0.1250000000,2.0151550115,-1.2613438138,-0.5521730688,-0.4230373675,0.3783479512,-0.4215077410,1.3145873426
0.1300000000,2.0087252120,-1.3105486318,-0.5543159912,-0.4340121598,0.3792700541,-0.4261959670,1.3145873426
0.1350000000,2.0020498070,-1.3595843394,-0.5565119681,-0.4442535907,0.3802147766,-0.4310929024,1.3145873425
0.1400000000,1.9951296676,-1.4084406658,-0.5587572482,-0.4537277120,0.3811805477,-0.4362012514,1.3145873425
0.1450000000,1.9879657169,-1.4571070541,-0.5610479091,-0.4624001310,0.3821657391,-0.4415237867,1.3145873425
0.1500000000,1.9805589316,-1.5055726793,-0.5633798554,-0.4702360338,0.3831686667,-0.4470633459,1.3145873425
0.1550000000,1.9729103431,-1.5538264701,-0.5657488166,-0.4772002135,0.3841875919,-0.4528228267,1.3145873425
0.1600000000,1.9650210388,-1.6018571345,-0.5681503454,-0.4832571033,0.3852207236,-0.4588051823,1.3145873425
0.1650000000,1.9568921628,-1.6496531890,-0.5705798157,-0.4883708143,0.3862662197,-0.4650134164,1.3145873425
0.1700000000,1.9485249173,-1.6972029930,-0.5730324213,-0.4925051779,0.3873221893,-0.4714505784,1.3145873425
0.1750000000,1.9399205629,-1.7444947860,-0.5755031746,-0.4956237935,0.3883866957,-0.4781197576,1.3145873426
0.1800000000,1.9310804192,-1.7915167307,-0.5779869054,-0.4976900813,0.3894577585,-0.4850240781,1.3145873426
0.1850000000,1.9220058651,-1.8382569603,-0.5804782603,-0.4986673395,0.3905333568,-0.4921666925,1.3145873427
0.1900000000,1.9126983388,-1.8847036297,-0.5829717025,-0.4985188070,0.3916114327,-0.4995507763,1.3145873428
0.1950000000,1.9031593377,-1.9308449728,-0.5854615108,-0.4972077297,0.3926898951,-0.5071795211,1.3145873430
0.2000000000,1.8933904174,-1.9766693634,-0.5879417810,-0.4946974323,0.3937666232,-0.5150561289,1.3145873431
0.2050000000,1.8833931914,-2.0221653820,-0.5904064256,-0.4909513935,0.3948394712,-0.5231838048,1.3145873433
0.2100000000,1.8731693294,-2.0673218866,-0.5928491749,-0.4859333255,0.3959062729,-0.5315657502,1.3145873436
0.2150000000,1.8627205564,-2.1121280888,-0.5952635788,-0.4796072561,0.3969648467,-0.5402051561,1.3145873438
0.2200000000,1.8520486497,-2.1565736341,-0.5976430081,-0.4719376146,0.3980130008,-0.5491051956,1.3145873441
0.2250000000,1.8411554375,-2.2006486878,-0.5999806571,-0.4628893190,0.3990485392,-0.5582690166,1.3145873444
0.2300000000,1.8300427957,-2.2443440240,-0.6022695460,-0.4524278652,0.4000692672,-0.5676997342,1.3145873448
0.2350000000,1.8187126444,-2.2876511196,-0.6045025241,-0.4405194171,0.4010729983,-0.5774004234,1.3145873452
0.2400000000,1.8071669445,-2.3305622521,-0.6066722733,-0.4271308959,0.4020575605,-0.5873741106,1.3145873456
0.2450000000,1.7954076933,-2.3730706011,-0.6087713125,-0.4122300692,0.4030208034,-0.5976237664,1.3145873461
0.2500000000,1.7834369196,-2.4151703529,-0.6107920013,-0.3957856372,0.4039606052,-0.6081522976,1.3145873466
0.2550000000,1.7712566787,-2.4568568082,-0.6127265456,-0.3777673163,0.4048748805,-0.6189625386,1.3145873472
0.2600000000,1.7588690462,-2.4981264923,-0.6145670026,-0.3581459178,0.4057615878,-0.6300572442,1.3145873479
0.2650000000,1.7462761120,-2.5389772676,-0.6163052862,-0.3368934209,0.4066187375,-0.6414390805,1.3145873486
0.2700000000,1.7334799730,-2.5794084471,-0.6179331736,-0.3139830393,0.4074444000,-0.6531106178,1.3145873493
0.2750000000,1.7204827255,-2.6194209100,-0.6194423109,-0.2893892781,0.4082367143,-0.6650743218,1.3145873501
0.2800000000,1.7072864576,-2.6590172172,-0.6208242203,-0.2630879818,0.4089938957,-0.6773325456,1.3145873510
0.2850000000,1.6938932398,-2.6982017275,-0.6220703067,-0.2350563707,0.4097142450,-0.6898875220,1.3145873519
0.2900000000,1.6803051164,-2.7369807133,-0.6231718645,-0.2052730642,0.4103961567,-0.7027413549,1.3145873529
0.2950000000,1.6665240949,-2.7753624755,-0.6241200845,-0.1737180895,0.4110381276,-0.7158960117,1.3145873540
0.3000000000,1.6525521364,-2.8133574581,-0.6249060615,-0.1403728750,0.4116387652,-0.7293533152,1.3145873551
0.3050000000,1.6383911440,-2.8509783604,-0.6255208008,-0.1052202258,0.4121967963,-0.7431149356,1.3145873563
0.3100000000,1.6240429513,-2.8882402484,-0.6259552249,-0.0682442806,0.4127110754,-0.7571823829,1.3145873576
0.3150000000,1.6095093108,-2.9251606639,-0.6262001803,-0.0294304478,0.4131805927,-0.7715569985,1.3145873590
0.3200000000,1.5947918805,-2.9617597321,-0.6262464438,0.0112346792,0.4136044824,-0.7862399479,1.3145873604
0.3250000000,1.5798922112,-2.9980602675,-0.6260847274,0.0537634306,0.4139820302,-0.8012322125,1.3145873619
0.3300000000,1.5648117329,-3.0340878778,-0.6257056844,0.0981671924,0.4143126812,-0.8165345818,1.3145873635
0.3350000000,1.5495517400,-3.0698710673,-0.6250999128,0.1444565643,0.4145960467,-0.8321476455,1.3145873653
0.3400000000,1.5341133773,-3.1054413393,-0.6242579594,0.1926415443,0.4148319117,-0.8480717852,1.3145873671
0.3450000000,1.5184976241,-3.1408332989,-0.6231703219,0.2427317407,0.4150202416,-0.8643071663,1.3145873690
0.3500000000,1.5027052787,-3.1760847569,-0.6218274508,0.2947366129,0.4151611878,-0.8808537292,1.3145873711
0.3550000000,1.4867369424,-3.2112368363,-0.6202197487,0.3486657421,0.4152550945,-0.8977111810,1.3145873733
0.3600000000,1.4705930020,-3.2463340819,-0.6183375697,0.4045291328,0.4153025041,-0.9148789856,1.3145873756
0.3650000000,1.4542736131,-3.2814245767,-0.6161712158,0.4623375460,0.4153041621,-0.9323563546,1.3145873781
0.3700000000,1.4377786816,-3.3165600648,-0.6137109328,0.5221028655,0.4152610224,-0.9501422363,1.3145873807
0.3750000000,1.4211078452,-3.3517960846,-0.6109469034,0.5838384991,0.4151742520,-0.9682353052,1.3145873836
0.3800000000,1.4042604543,-3.3871921149,-0.6078692385,0.6475598144,0.4150452349,-0.9866339497,1.3145873866
0.3850000000,1.3872355517,-3.4228117354,-0.6044679663,0.7132846136,0.4148755760,-1.0053362590,1.3145873899
0.3900000000,1.3700318516,-3.4587228075,-0.6007330188,0.7810336464,0.4146671055,-1.0243400089,1.3145873935
0.3950000000,1.3526477177,-3.4949976768,-0.5966542159,0.8508311660,0.4144218815,-1.0436426461,1.3145873974
0.4000000000,1.3350811404,-3.5317134024,-0.5922212461,0.9227055292,0.4141421939,-1.0632412704,1.3145874016
0.4050000000,1.3173297126,-3.5689520179,-0.5874236444,0.9966898446,0.4138305673,-1.0831326151,1.3145874061
0.4100000000,1.2993906037,-3.6068008292,-0.5822507672,1.0728226734,0.4134897639,-1.1033130256,1.3145874111
0.4150000000,1.2812605329,-3.6453527544,-0.5766917627,1.1511487868,0.4131227870,-1.1237784342,1.3145874165
0.4200000000,1.2629357399,-3.6847067121,-0.5707355381,1.2317199870,0.4127328835,-1.1445243325,1.3145874225
0.4250000000,1.2444119540,-3.7249680661,-0.5643707221,1.3145959962,0.4123235470,-1.1655457399,1.3145874290
0.4300000000,1.2256843603,-3.7662491332,-0.5575856231,1.3998454239,0.4118985215,-1.1868371681,1.3145874362
0.4350000000,1.2067475640,-3.8086697633,-0.5503681820,1.4875468203,0.4114618043,-1.2083925801,1.3145874442
0.4400000000,1.1875955507,-3.8523580005,-0.5427059197,1.5777898253,0.4110176498,-1.2302053441,1.3145874530
0.4450000000,1.1682216438,-3.8974508370,-0.5345858787,1.6706764268,0.4105705733,-1.2522681806,1.3145874627
0.4500000000,1.1486184575,-3.9440950694,-0.5259945577,1.7663223391,0.4101253554,-1.2745731013,1.3145874734
0.4550000000,1.1287778457,-3.9924482710,-0.5169178394,1.8648585176,0.4096870461,-1.2971113399,1.3145874853
0.4600000000,1.1086908451,-4.0426798922,-0.5073409103,1.9664328247,0.4092609697,-1.3198732714,1.3145874985
0.4650000000,1.0883476129,-4.0949725029,-0.4972481714,2.0712118628,0.4088527299,-1.3428483200,1.3145875132
0.4700000000,1.0677373579,-4.1495231912,-0.4866231398,2.1793829921,0.4084682146,-1.3660248519,1.3145875293
0.4750000000,1.0468482636,-4.2065451298,-0.4754483393,2.2911565478,0.4081136011,-1.3893900508,1.3145875472
0.4800000000,1.0256674043,-4.2662693232,-0.4637051794,2.4067682696,0.4077953606,-1.4129297745,1.3145875670
0.4850000000,1.0041806504,-4.3289465419,-0.4513738223,2.5264819510,0.4075202622,-1.4366283859,1.3145875886
0.4900000000,0.9823725647,-4.3948494431,-0.4384330347,2.6505923053,0.4072953756,-1.4604685567,1.3145876122
0.4950000000,0.9602262872,-4.4642748686,-0.4248600264,2.7794280277,0.4071280712,-1.4844310369,1.3145876377
0.5000000000,0.9377234083,-4.5375462872,-0.4106302720,2.9133550084,0.4070260180,-1.5084943835,1.3145876649
0.5050000000,0.9148438292,-4.6150163232,-0.3957173169,3.0527796047,0.4069971749,-1.5326346406,1.3145876933
0.5100000000,0.8915656097,-4.6970692623,-0.3800925669,3.1981518198,0.4070497769,-1.5568249613,1.3145877222
0.5150000000,0.8678648042,-4.7841233586,-0.3637250624,3.3499681297,0.4071923096,-1.5810351579,1.3145877502
0.5200000000,0.8437152872,-4.8766326557,-0.3465812411,3.5087735515,0.4074334701,-1.6052311684,1.3145877750
0.5250000000,0.8190885710,-4.9750878726,-0.3286246921,3.6751623146,0.4077821071,-1.6293744190,1.3145877934
0.5300000000,0.7939536239,-5.0800156599,-0.3098159133,3.8497761516,0.4082471337,-1.6534210633,1.3145878002
0.5350000000,0.7682766975,-5.1919751691,-0.2901120860,4.0332987185,0.4088373994,-1.6773210728,1.3145877878
0.5400000000,0.7420211814,-5.3115503413,-0.2694668906,4.2264438989,0.4095615087,-1.7010171496,1.3145877452
0.5450000000,0.7151475112,-5.4393355415,-0.2478304044,4.4299346562,0.4104275638,-1.7244434295,1.3145876567
0.5500000000,0.6876131735,-5.5759110537,-0.2251491370,4.6444675428,0.4114428029,-1.7475239433,1.3145875008
0.5550000000,0.6593728668,-5.7218034093,-0.2013662943,4.8706558151,0.4126130968,-1.7701708044,1.3145872494
0.5600000000,0.6303789148,-5.8774234859,-0.1764223995,5.1089412586,0.4139422537,-1.7922821062,1.3145868682
0.5650000000,0.6005820625,-6.0429728394,-0.1502564606,5.3594613747,0.4154310663,-1.8137395384,1.3145863210
0.5700000000,0.5699328462,-6.2183062181,-0.1228079484,5.6218550779,0.4170760236,-1.8344057883,1.3145855815
0.5750000000,0.5383837873,-6.4027367875,-0.0940199383,5.8949880975,0.4188676004,-1.8541218944,1.3145846592
0.5800000000,0.5058927292,-6.5947728324,-0.0638438612,6.1765824806,0.4207880429,-1.8727048896,1.3145836461
0.5850000000,0.4724276659,-6.7917854961,-0.0322463524,6.4627498199,0.4228086144,-1.8899463368,1.3145827870
0.5900000000,0.4379733590,-6.9896341042,0.0007813900,6.7474658297,0.4248863747,-1.9056127257,1.3145825529
0.5950000000,0.4025397851,-7.1823271657,0.0352116828,7.0220963879,0.4269607877,-1.9194491183,1.3145836459
0.6000000000,0.3661718850,-7.3618737244,0.0709666219,7.2751928336,0.4289508040,-1.9311877422,1.3145868021
0.6050000000,0.3289591092,-7.5185555567,0.1079046606,7.4928808320,0.4307535123,-1.9405630630,1.3145922699
0.6100000000,0.2910420427,-7.6418537182,0.1458113275,7.6601711558,0.4322457961,-1.9473337304,1.3145991144
0.6150000000,0.2526125666,-7.7220904268,0.1843990782,7.7632777771,0.4332902928,-1.9513093671,1.3146049987
0.6200000000,0.2139045936,-7.7524668923,0.2233204494,7.7924931917,0.4337459465,-1.9523769606,1.3146071841
0.6250000000,0.1751750824,-7.7307732333,0.2621949286,7.7446015053,0.4334816311,-1.9505194178,1.3146043998
0.6300000000,0.1366790222,-7.6599872296,0.3006443404,7.6237260373,0.4323895730,-1.9458198297,1.3145978651
0.6350000000,0.0986449843,-7.5474592650,0.3383274531,7.4401845673,0.4303949041,-1.9384496471,1.3145903389
0.6400000000,0.0612575427,-7.4030962802,0.3749649205,7.2079326000,0.4274591256,-1.9286448134,1.3145842341
0.6450000000,0.0246495954,-7.2373540324,0.4103502791,6.9417336813,0.4235776511,-1.9166773561,1.3145805521
0.6500000000,-0.0110962717,-7.0597058609,0.4443481915,6.6549979455,0.4187734157,-1.9028294867,1.3145790656
0.6550000000,-0.0459405547,-6.8778338815,0.4768843981,6.3586362235,0.4130890192,-1.8873742538,1.3145790234
0.6600000000,-0.0798771905,-6.6974389111,0.5079322368,6.0607850101,0.4065792989,-1.8705635892,1.3145796936
0.6650000000,-0.1129240129,-6.5224287243,0.5374992659,5.7670648791,0.3993053170,-1.8526225717,1.3145805777
0.6700000000,-0.1451146260,-6.3552658176,0.5656158502,5.4810648466,0.3913300026,-1.8337480412,1.3145814105
0.6750000000,-0.1764921051,-6.1973345548,0.5923263000,5.2048555510,0.3827152743,-1.8141098244,1.3145820864
0.6800000000,-0.2071044309,-6.0492601266,0.6176824330,4.9394359914,0.3735203102,-1.7938532815,1.3145825874
0.6850000000,-0.2370013470,-5.9111584855,0.6417391337,4.6850842213,0.3638006328,-1.7731023370,1.3145829345
0.6900000000,-0.2662322986,-5.7828200227,0.6645514296,4.4416156044,0.3536077319,-1.7519625182,1.3145831602
0.6950000000,-0.2948451477,-5.6638387076,0.6861726608,4.2085648747,0.3429890235,-1.7305237565,1.3145832966
0.7000000000,-0.3228854248,-5.5536998575,0.7066534081,3.9853103330,0.3319880031,-1.7088628565,1.3145833703
0.7050000000,-0.3503959408,-5.4518380502,0.7260409311,3.7711562350,0.3206445030,-1.6870456103,1.3145834015
0.7100000000,-0.3774166334,-5.3576741908,0.7443789411,3.5653859507,0.3089949937,-1.6651285803,1.3145834050
0.7150000000,-0.4039845602,-5.2706383712,0.7617075863,3.3672951654,0.2970728959,-1.6431605873,1.3145833913
0.7200000000,-0.4301339820,-5.1901832330,0.7780635677,3.1762117073,0.2849088818,-1.6211839456,1.3145833675
0.7250000000,-0.4558964946,-5.1157910963,0.7934803298,2.9915065641,0.2725311559,-1.5992354859,1.3145833384
0.7300000000,-0.4813011869,-5.0469770755,0.8079882922,2.8125991948,0.2599657099,-1.5773474020,1.3145833070
0.7350000000,-0.5063748069,-4.9832896762,0.8216150968,2.6389592292,0.2472365503,-1.5555479524,1.3145832754
0.7400000000,-0.5311419271,-4.9243098642,0.8343858586,2.4701059443,0.2343658998,-1.5338620428,1.3145832448
0.7450000000,-0.5556251019,-4.8696492613,0.8463234091,2.3056064316,0.2213743733,-1.5123117107,1.3145832158
0.7500000000,-0.5798450163,-4.8189478910,0.8574485300,2.1450730499,0.2082811311,-1.4909165296,1.3145831888
0.7550000000,-0.6038206210,-4.7718717447,0.8677801715,1.9881605428,0.1951040115,-1.4696939478,1.3145831640
0.7600000000,-0.6275692566,-4.7281103395,0.8773356578,1.8345630578,0.1818596447,-1.4486595719,1.3145831413
0.7650000000,-0.6511067653,-4.6873743695,0.8861308757,1.6840112082,0.1685635510,-1.4278274069,1.3145831207
0.7700000000,-0.6744475908,-4.6493935095,0.8941804508,1.5362692613,0.1552302241,-1.4072100570,1.3145831021
0.7750000000,-0.6976048687,-4.6139144027,0.9014979083,1.3911324907,0.1418732015,-1.3868188974,1.3145830854
0.7800000000,-0.7205905063,-4.5806988430,0.9080958222,1.2484247118,0.1285051250,-1.3666642187,1.3145830703
0.7850000000,-0.7434152543,-4.5495221558,0.9139859522,1.1079959966,0.1151377904,-1.3467553499,1.3145830567
0.7900000000,-0.7660887709,-4.5201717691,0.9191793694,0.9697205625,0.1017821896,-1.3271007635,1.3145830445
0.7950000000,-0.7886196789,-4.4924459665,0.9236865725,0.8334948174,0.0884485450,-1.3077081639,1.3145830335
