t,theta1,omega1,theta2,omega2,x2,y2,energy
0,1.570796327,0,0,0,1,-1,-39.24
0.005,1.570673702,-0.0490500003,7.518445317e-09,6.014756279e-06,1,-1.000122625,-39.24
0.01,1.570305827,-0.09810000902,1.202951295e-07,4.811805393e-05,1,-1.0004905,-39.24
0.015,1.569692702,-0.1471500682,6.089941938e-07,0.0001623984861,1,-1.001103625,-39.24
0.02,1.568834326,-0.1962002877,1.924723253e-06,0.0003849449051,1,-1.001962,-39.24
0.025,1.567730698,-0.2452508788,4.699035829e-06,0.0007518469436,1,-1.003065624,-39.24
0.03,1.566381816,-0.2943021897,9.743937512e-06,0.00129919601,1,-1.004414497,-39.24
0.035,1.564787674,-0.3433547406,1.805189863e-05,0.002063086927,1,-1.006008616,-39.24
0.04,1.562948265,-0.3924092603,3.079587707e-05,0.003079620386,1,-1.007847981,-39.24
0.045,1.560863577,-0.4414667239,4.932935581e-05,0.004384906401,1,-1.009932586,-39.24
0.05,1.558533591,-0.4905283915,7.518640064e-05,0.006015068967,1,-1.012262426,-39.24
0.055,1.555958283,-0.5395958486,0.0001100817446,0.008006252116,1,-1.014837493,-39.24
0.06,1.55313762,-0.5886710488,0.0001559109065,0.01039462762,1,-1.017657777,-39.24
0.065,1.550071556,-0.6377563572,0.0002147503532,0.01321640456,1,-1.020723264,-39.24
0.07,1.546760035,-0.6868545974,0.0002888577138,0.01650784107,0.9999999999,-1.024033936,-39.24
0.075,1.543202983,-0.7359691001,0.0003806720599,0.02030525846,0.9999999999,-1.02758977,-39.24
0.08,1.53940031,-0.7851037545,0.0004928142621,0.0246450582,0.9999999998,-1.031390738,-39.24
0.085,1.535351904,-0.8342630633,0.00062808744,0.02956374189,0.9999999996,-1.035436804,-39.24
0.09,1.53105763,-0.8834522001,0.0007894775194,0.03509793481,0.9999999993,-1.039727927,-39.24
0.095,1.526517323,-0.9326770714,0.0009801539182,0.04128441339,0.9999999988,-1.044264056,-39.24
0.1,1.521730788,-0.981944382,0.00120347038,0.04816013695,0.999999998,-1.04904513,-39.23999999
0.105,1.516697796,-1.031261705,0.001462965976,0.05576228455,0.9999999968,-1.054071077,-39.23999999
