t,theta1,omega1,theta2,omega2,x2,y2,energy
0,2.094395102,0,-0.5235987756,0,0.3660254038,-0.3660254038,1.314290789
0.005,2.094267668,-0.05097353074,-0.5236478204,-0.01961584662,0.3660466407,-0.3661112461,1.314290789
0.01,2.093885374,-0.1019427102,-0.5237948925,-0.03920676662,0.3661103227,-0.3663688311,1.314290789
0.015,2.093248255,-0.1529031652,-0.5240398049,-0.05874779982,0.3662163638,-0.3667983324,1.314290789
0.02,2.092356365,-0.2038504787,-0.5243822457,-0.07821391915,0.3663646207,-0.3674000396,1.314290789
0.025,2.09120978,-0.2547801685,-0.5248217774,-0.0975799974,0.3665548926,-0.3681743577,1.314290789
0.03,2.0898086,-0.305687665,-0.5253578368,-0.1168207745,0.3667869208,-0.3691218065,1.314290789
0.035,2.088152948,-0.356568291,-0.5259897339,-0.135910825,0.3670603892,-0.3702430208,1.314290789
0.04,2.08624297,-0.4074172402,-0.5267166512,-0.1548245267,0.3673749235,-0.3715387491,1.314290789
0.045,2.084078836,-0.4582295569,-0.5275376422,-0.1735360295,0.3677300911,-0.3730098535,1.314290789
0.05,2.081660744,-0.5090001166,-0.528451631,-0.192019225,0.3681254009,-0.3746573085,1.314290789
0.055,2.078988914,-0.5597236067,-0.52945741,-0.2102477181,0.3685603033,-0.3764822003,1.314290789
0.06,2.076063595,-0.6103945077,-0.5305536392,-0.2281947985,0.3690341892,-0.3784857256,1.314290789
0.065,2.072885066,-0.6610070763,-0.5317388439,-0.2458334144,0.3695463904,-0.3806691906,1.314290789
0.07,2.069453632,-0.711555328,-0.5330114135,-0.2631361473,0.370096179,-0.3830340096,1.314290788
0.075,2.06576963,-0.7620330222,-0.5343695993,-0.2800751883,0.3706827671,-0.3855817036,1.314290788
0.08,2.06183343,-0.8124336473,-0.5358115123,-0.2966223169,0.3713053066,-0.3883138987,1.314290788
0.085,2.057645433,-0.8627504076,-0.5373351215,-0.3127488805,0.3719628888,-0.3912323244,1.314290788
0.09,2.053206077,-0.9129762119,-0.5389382516,-0.3284257777,0.3726545446,-0.3943388115,1.314290788
0.095,2.048515835,-0.9631036629,-0.5406185806,-0.3436234422,0.3733792437,-0.3976352907,1.314290788
0.1,2.043575218,-1.013125049,-0.5423736373,-0.3583118308,0.3741358951,-0.4011237895,1.314290788
0.105,2.038384775,-1.063032338,-0.5442007993,-0.3724604129,0.3749233468,-0.4048064304,1.314290788
0.11,2.032945098,-1.112817173,-0.5460972901,-0.3860381639,0.3757403857,-0.4086854284,1.314290788
0.115,2.027256822,-1.162470866,-0.548060177,-0.3990135607,0.376585738,-0.4127630879,1.314290788
0.12,2.021320623,-1.211984406,-0.5500863684,-0.4113545818,0.3774580696,-0.4170417998,1.314290788
0.125,2.015137227,-1.261348454,-0.5521726114,-0.4230287097,0.3783559858,-0.4215240386,1.314290788
0.13,2.008707404,-1.31055335,-0.5543154891,-0.4340029379,0.3792780327,-0.426212359,1.314290788
0.135,2.002031975,-1.359589125,-0.5565114185,-0.4442437816,0.3802226971,-0.4311093921,1.314290788
0.14,1.995111812,-1.408445506,-0.558756648,-0.4537172921,0.3811884081,-0.436217842,1.314290788
0.145,1.987947837,-1.457111939,-0.5610472552,-0.4623890763,0.3821735372,-0.4415404816,1.314290788
0.15,1.980541027,-1.505577596,-0.5633791446,-0.4702243201,0.3831764006,-0.4470801482,1.314290788
0.155,1.972892414,-1.553831408,-0.5657480455,-0.4771878165,0.3841952597,-0.4528397395,1.314290788
0.16,1.965003085,-1.601862082,-0.5681495106,-0.4832439985,0.3852283232,-0.4588222085,1.314290788
0.165,1.956874184,-1.649658135,-0.5705789135,-0.488356977,0.3862737492,-0.4650305592,1.314290788
0.17,1.948506914,-1.697207925,-0.5730314481,-0.4924905836,0.3873296469,-0.4714678405,1.314290788
0.175,1.939902535,-1.744499694,-0.5755021264,-0.4956084177,0.3883940795,-0.478137142,1.314290788
0.18,1.931062366,-1.791521603,-0.5779857783,-0.4976738997,0.3894650666,-0.4850415875,1.314290788
0.185,1.921987788,-1.838261787,-0.5804770503,-0.4986503281,0.3905405875,-0.4921843296,1.314290788
0.19,1.912680238,-1.884708401,-0.5829704053,-0.4985009421,0.3916185844,-0.4995685437,1.314290788
0.195,1.903141213,-1.930849678,-0.5854601221,-0.4971889881,0.392696966,-0.5071974213,1.314290788
0.2,1.893372269,-1.976673994,-0.5879402964,-0.4946777912,0.3937736118,-0.5150741643,1.314290788
0.205,1.88337502,-2.02216993,-0.5904048404,-0.4909308308,0.3948463759,-0.5232019776,1.314290789
0.21,1.873151136,-2.067326344,-0.5928474846,-0.4859118196,0.3959130924,-0.5315840627,1.314290789
