t,theta1,omega1,theta2,omega2,x2,y2,energy
0.0000000000,2.0943951024,0.0000000000,-0.5235987756,0.0000000000,0.3660254038,-0.3660254038,1.3142907889
0.0050000000,2.0942676677,-0.0509735307,-0.5236478204,-0.0196158466,0.3660466407,-0.3661112461,1.3142907889
0.0100000000,2.0938853743,-0.1019427102,-0.5237948925,-0.0392067666,0.3661103227,-0.3663688311,1.3142907889
0.0150000000,2.0932482551,-0.1529031652,-0.5240398049,-0.0587477998,0.3662163638,-0.3667983324,1.3142907889
0.0200000000,2.0923563646,-0.2038504787,-0.5243822457,-0.0782139192,0.3663646207,-0.3674000396,1.3142907888
0.0250000000,2.0912097797,-0.2547801685,-0.5248217774,-0.0975799974,0.3665548926,-0.3681743577,1.3142907888
0.0300000000,2.0898085999,-0.3056876650,-0.5253578368,-0.1168207745,0.3667869208,-0.3691218065,1.3142907888
0.0350000000,2.0881529478,-0.3565682910,-0.5259897339,-0.1359108250,0.3670603892,-0.3702430208,1.3142907888
0.0400000000,2.0862429698,-0.4074172402,-0.5267166512,-0.1548245267,0.3673749235,-0.3715387491,1.3142907887
0.0450000000,2.0840788364,-0.4582295569,-0.5275376422,-0.1735360295,0.3677300911,-0.3730098535,1.3142907887
0.0500000000,2.0816607438,-0.5090001166,-0.5284516310,-0.1920192250,0.3681254009,-0.3746573085,1.3142907887
0.0550000000,2.0789889137,-0.5597236067,-0.5294574100,-0.2102477181,0.3685603033,-0.3764822003,1.3142907886
0.0600000000,2.0760635953,-0.6103945077,-0.5305536392,-0.2281947985,0.3690341892,-0.3784857256,1.3142907886
0.0650000000,2.0728850658,-0.6610070763,-0.5317388439,-0.2458334144,0.3695463904,-0.3806691906,1.3142907885
0.0700000000,2.0694536317,-0.7115553280,-0.5330114135,-0.2631361473,0.3700961790,-0.3830340096,1.3142907885
0.0750000000,2.0657696301,-0.7620330222,-0.5343695993,-0.2800751883,0.3706827671,-0.3855817036,1.3142907884
0.0800000000,2.0618334299,-0.8124336473,-0.5358115123,-0.2966223169,0.3713053066,-0.3883138987,1.3142907884
0.0850000000,2.0576454334,-0.8627504076,-0.5373351215,-0.3127488805,0.3719628888,-0.3912323244,1.3142907883
0.0900000000,2.0532060774,-0.9129762119,-0.5389382516,-0.3284257777,0.3726545446,-0.3943388115,1.3142907883
0.0950000000,2.0485158352,-0.9631036629,-0.5406185806,-0.3436234422,0.3733792437,-0.3976352907,1.3142907882
0.1000000000,2.0435752176,-1.0131250492,-0.5423736373,-0.3583118308,0.3741358951,-0.4011237895,1.3142907882
0.1050000000,2.0383847748,-1.0630323384,-0.5442007993,-0.3724604129,0.3749233468,-0.4048064304,1.3142907881
0.1100000000,2.0329450983,-1.1128171726,-0.5460972901,-0.3860381639,0.3757403857,-0.4086854284,1.3142907881
0.1150000000,2.0272568217,-1.1624708664,-0.5480601770,-0.3990135607,0.3765857380,-0.4127630879,1.3142907880
0.1200000000,2.0213206232,-1.2119844063,-0.5500863684,-0.4113545818,0.3774580696,-0.4170417998,1.3142907880
0.1250000000,2.0151372267,-1.2613484537,-0.5521726114,-0.4230287097,0.3783559858,-0.4215240386,1.3142907879
0.1300000000,2.0087074038,-1.3105533499,-0.5543154891,-0.4340029379,0.3792780327,-0.4262123590,1.3142907879
0.1350000000,2.0020319751,-1.3595891245,-0.5565114185,-0.4442437816,0.3802226971,-0.4311093921,1.3142907878
0.1400000000,1.9951118116,-1.4084455065,-0.5587566480,-0.4537172921,0.3811884081,-0.4362178420,1.3142907878
0.1450000000,1.9879478366,-1.4571119388,-0.5610472552,-0.4623890763,0.3821735372,-0.4415404816,1.3142907878
0.1500000000,1.9805410268,-1.5055775965,-0.5633791446,-0.4702243201,0.3831764006,-0.4470801482,1.3142907878
0.1550000000,1.9728924137,-1.5538314082,-0.5657480455,-0.4771878165,0.3841952597,-0.4528397395,1.3142907878
0.1600000000,1.9650030846,-1.6018620820,-0.5681495106,-0.4832439985,0.3852283232,-0.4588222085,1.3142907878
