t,theta1,omega1,theta2,omega2,x2,y2,energy
0.0000000000,1.5707963268,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000,-9.8100000000
0.0050000000,1.5706737018,-0.0490500002,0.0000000075,0.0000060148,1.0000000000,-1.0001226250,-9.8100000000
0.0100000000,1.5703058268,-0.0981000047,0.0000001203,0.0000481181,1.0000000000,-1.0004905000,-9.8100000000
0.0150000000,1.5696927017,-0.1471500359,0.0000006090,0.0001623984,1.0000000000,-1.0011036249,-9.8100000000
0.0200000000,1.5688343263,-0.1962001514,0.0000019247,0.0003849445,1.0000000000,-1.0019619992,-9.8100000000
0.0250000000,1.5677306999,-0.2452504628,0.0000046990,0.0007518452,1.0000000000,-1.0030656221,-9.8100000000
0.0300000000,1.5663818210,-0.2943011534,0.0000097439,0.0012991899,1.0000000000,-1.0044144914,-9.8099999999
0.0350000000,1.5647876873,-0.3433524979,0.0000180518,0.0020630689,1.0000000000,-1.0060086032,-9.8099999999
0.0400000000,1.5629482943,-0.3924048812,0.0000307956,0.0030795745,1.0000000000,-1.0078479514,-9.8099999999
0.0450000000,1.5608636359,-0.4414588187,0.0000493288,0.0043848015,1.0000000000,-1.0099325264,-9.8099999999
0.0500000000,1.5585337025,-0.4905149776,0.0000751850,0.0060148492,1.0000000000,-1.0122623142,-9.8099999998
0.0550000000,1.5559584810,-0.5395741982,0.0001100788,0.0080058228,1.0000000000,-1.0148372953,-9.8099999998
0.0600000000,1.5531379537,-0.5886375172,0.0001559050,0.0103938360,1.0000000000,-1.0176574433,-9.8099999997
0.0650000000,1.5500720969,-0.6377061915,0.0002147391,0.0132150140,0.9999999999,-1.0207227234,-9.8099999997
0.0700000000,1.5467608803,-0.6867817238,0.0002888373,0.0165054972,0.9999999999,-1.0240330906,-9.8099999996
0.0750000000,1.5432042653,-0.7358658892,0.0003806365,0.0203014456,0.9999999997,-1.0275884881,-9.8099999995
0.0800000000,1.5394022036,-0.7849607633,0.0004927545,0.0246390446,0.9999999995,-1.0313888451,-9.8099999994
0.0850000000,1.5353546358,-0.8340687523,0.0006279901,0.0295545111,0.9999999990,-1.0354340744,-9.8099999993
0.0900000000,1.5310614897,-0.8831926245,0.0007893232,0.0350841017,0.9999999983,-1.0397240705,-9.8099999992
0.0950000000,1.5265226779,-0.9323355440,0.0009799151,0.0412641213,0.9999999971,-1.0442587063,-9.8099999991
