t,theta1,omega1,theta2,omega2,x2,y2,energy
0.0000000000,0.1745329252,0.0000000000,0.1745329252,0.0000000000,0.3472963553,-1.9696155060,-28.9828921711
0.0050000000,0.1745116324,-0.0085167574,0.1745329243,-0.0000006857,0.3472753852,-1.9696192034,-28.9828921711
0.0100000000,0.1744477645,-0.0170294011,0.1745329115,-0.0000054849,0.3472124743,-1.9696302928,-28.9828921711
0.0150000000,0.1743413521,-0.0255338201,0.1745328558,-0.0000185077,0.3471076212,-1.9696487663,-28.9828921711
0.0200000000,0.1741924468,-0.0340259088,0.1745327059,-0.0000438572,0.3469608235,-1.9696746105,-28.9828921711
0.0250000000,0.1740011204,-0.0425015693,0.1745323898,-0.0000856264,0.3467720781,-1.9697078067,-28.9828921711
0.0300000000,0.1737674653,-0.0509567146,0.1745318154,-0.0001478947,0.3465413808,-1.9697483309,-28.9828921712
0.0350000000,0.1734915943,-0.0593872709,0.1745308700,-0.0002347240,0.3462687266,-1.9697961541,-28.9828921712
0.0400000000,0.1731736404,-0.0677891804,0.1745294205,-0.0003501561,0.3459541096,-1.9698512421,-28.9828921712
0.0450000000,0.1728137570,-0.0761584038,0.1745273140,-0.0004982084,0.3455975234,-1.9699135553,-28.9828921712
0.0500000000,0.1724121175,-0.0844909231,0.1745243774,-0.0006828710,0.3451989606,-1.9699830497,-28.9828921712
0.0550000000,0.1719689156,-0.0927827445,0.1745204177,-0.0009081032,0.3447584132,-1.9700596758,-28.9828921712
0.0600000000,0.1714843645,-0.1010299004,0.1745152222,-0.0011778295,0.3442758728,-1.9701433799,-28.9828921712
0.0650000000,0.1709586976,-0.1092284530,0.1745085588,-0.0014959369,0.3437513302,-1.9702341032,-28.9828921712
0.0700000000,0.1703921675,-0.1173744961,0.1745001758,-0.0018662707,0.3431847761,-1.9703317827,-28.9828921712
0.0750000000,0.1697850466,-0.1254641583,0.1744898027,-0.0022926314,0.3425762004,-1.9704363507,-28.9828921712
0.0800000000,0.1691376263,-0.1334936054,0.1744771498,-0.0027787713,0.3419255933,-1.9705477356,-28.9828921712
0.0850000000,0.1684502172,-0.1414590433,0.1744619092,-0.0033283903,0.3412329443,-1.9706658614,-28.9828921712
0.0900000000,0.1677231488,-0.1493567206,0.1744437541,-0.0039451333,0.3404982432,-1.9707906485,-28.9828921712
0.0950000000,0.1669567691,-0.1571829310,0.1744223400,-0.0046325858,0.3397214797,-1.9709220131,-28.9828921712
0.1000000000,0.1661514447,-0.1649340163,0.1743973045,-0.0053942712,0.3389026438,-1.9710598683,-28.9828921712
0.1050000000,0.1653075602,-0.1726063689,0.1743682678,-0.0062336464,0.3380417256,-1.9712041233,-28.9828921712
0.1100000000,0.1644255182,-0.1801964344,0.1743348329,-0.0071540991,0.3371387159,-1.9713546846,-28.9828921712
0.1150000000,0.1635057388,-0.1877007142,0.1742965861,-0.0081589438,0.3361936058,-1.9715114553,-28.9828921712
0.1200000000,0.1625486597,-0.1951157682,0.1742530974,-0.0092514183,0.3352063871,-1.9716743356,-28.9828921712
0.1250000000,0.1615547355,-0.2024382173,0.1742039206,-0.0104346805,0.3341770527,-1.9718432234,-28.9828921712
0.1300000000,0.1605244374,-0.2096647460,0.1741485941,-0.0117118046,0.3331055963,-1.9720180139,-28.9828921712
0.1350000000,0.1594582533,-0.2167921048,0.1740866411,-0.0130857781,0.3319920125,-1.9721986000,-28.9828921712
0.1400000000,0.1583566870,-0.2238171129,0.1740175701,-0.0145594978,0.3308362977,-1.9723848727,-28.9828921712
0.1450000000,0.1572202580,-0.2307366605,0.1739408752,-0.0161357670,0.3296384493,-1.9725767210,-28.9828921712
0.1500000000,0.1560495012,-0.2375477112,0.1738560370,-0.0178172920,0.3283984665,-1.9727740324,-28.9828921712
0.1550000000,0.1548449666,-0.2442473045,0.1737625225,-0.0196066786,0.3271163504,-1.9729766927,-28.9828921712
0.1600000000,0.1536072188,-0.2508325581,0.1736597862,-0.0215064292,0.3257921036,-1.9731845867,-28.9828921712
0.1650000000,0.1523368363,-0.2573006701,0.1735472703,-0.0235189394,0.3244257314,-1.9733975978,-28.9828921712
0.1700000000,0.1510344118,-0.2636489213,0.1734244051,-0.0256464952,0.3230172408,-1.9736156088,-28.9828921712
0.1750000000,0.1497005513,-0.2698746773,0.1732906099,-0.0278912698,0.3215666418,-1.9738385015,-28.9828921712
0.1800000000,0.1483358735,-0.2759753906,0.1731452936,-0.0302553206,0.3200739467,-1.9740661572,-28.9828921712
0.1850000000,0.1469410099,-0.2819486029,0.1729878547,-0.0327405866,0.3185391706,-1.9742984569,-28.9828921712
0.1900000000,0.1455166039,-0.2877919466,0.1728176826,-0.0353488855,0.3169623319,-1.9745352814,-28.9828921712
0.1950000000,0.1440633107,-0.2935031470,0.1726341579,-0.0380819112,0.3153434519,-1.9747765113,-28.9828921712
0.2000000000,0.1425817963,-0.2990800238,0.1724366530,-0.0409412311,0.3136825553,-1.9750220273,-28.9828921712
0.2050000000,0.1410727378,-0.3045204933,0.1722245327,-0.0439282839,0.3119796705,-1.9752717103,-28.9828921712
0.2100000000,0.1395368221,-0.3098225697,0.1719971551,-0.0470443772,0.3102348295,-1.9755254415,-28.9828921712
0.2150000000,0.1379747459,-0.3149843665,0.1717538719,-0.0502906854,0.3084480682,-1.9757831026,-28.9828921712
0.2200000000,0.1363872152,-0.3200040983,0.1714940295,-0.0536682476,0.3066194268,-1.9760445757,-28.9828921712
0.2250000000,0.1347749445,-0.3248800818,0.1712169691,-0.0571779660,0.3047489496,-1.9763097438,-28.9828921712
0.2300000000,0.1331386566,-0.3296107374,0.1709220282,-0.0608206038,0.3028366853,-1.9765784904,-28.9828921712
0.2350000000,0.1314790818,-0.3341945898,0.1706085405,-0.0645967839,0.3008826874,-1.9768506998,-28.9828921712
0.2400000000,0.1297969577,-0.3386302697,0.1702758370,-0.0685069874,0.2988870143,-1.9771262572,-28.9828921712
0.2450000000,0.1280930282,-0.3429165141,0.1699232467,-0.0725515522,0.2968497292,-1.9774050486,-28.9828921712
0.2500000000,0.1263680435,-0.3470521676,0.1695500972,-0.0767306722,0.2947709005,-1.9776869611,-28.9828921712
0.2550000000,0.1246227593,-0.3510361826,0.1691557156,-0.0810443962,0.2926506022,-1.9779718827,-28.9828921712
