t,theta1,omega1,theta2,omega2,x2,y2,energy
0.0000000000,1.5707963268,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000,-39.2400000000
0.0050000000,1.5706737018,-0.0490500003,0.0000000075,0.0000060148,1.0000000000,-1.0001226250,-39.2400000000
0.0100000000,1.5703058268,-0.0981000090,0.0000001203,0.0000481181,1.0000000000,-1.0004905000,-39.2400000000
0.0150000000,1.5696927016,-0.1471500682,0.0000006090,0.0001623985,1.0000000000,-1.0011036249,-39.2399999999
0.0200000000,1.5688343258,-0.1962002877,0.0000019247,0.0003849449,1.0000000000,-1.0019619997,-39.2399999999
0.0250000000,1.5677306981,-0.2452508788,0.0000046990,0.0007518469,1.0000000000,-1.0030656238,-39.2399999998
0.0300000000,1.5663818159,-0.2943021897,0.0000097439,0.0012991960,1.0000000000,-1.0044144965,-39.2399999997
0.0350000000,1.5647876742,-0.3433547406,0.0000180519,0.0020630869,1.0000000000,-1.0060086163,-39.2399999996
0.0400000000,1.5629482652,-0.3924092603,0.0000307959,0.0030796204,1.0000000000,-1.0078479806,-39.2399999994
0.0450000000,1.5608635767,-0.4414667239,0.0000493294,0.0043849064,1.0000000000,-1.0099325856,-39.2399999993
0.0500000000,1.5585335910,-0.4905283915,0.0000751864,0.0060150690,1.0000000000,-1.0122624257,-39.2399999991
0.0550000000,1.5559582832,-0.5395958486,0.0001100817,0.0080062521,1.0000000000,-1.0148374931,-39.2399999988
0.0600000000,1.5531376196,-0.5886710488,0.0001559109,0.0103946276,1.0000000000,-1.0176577773,-39.2399999986
0.0650000000,1.5500715559,-0.6377563572,0.0002147504,0.0132164046,1.0000000000,-1.0207232643,-39.2399999983
0.0700000000,1.5467600345,-0.6868545974,0.0002888577,0.0165078411,0.9999999999,-1.0240339362,-39.2399999979
0.0750000000,1.5432029828,-0.7359691001,0.0003806721,0.0203052585,0.9999999999,-1.0275897701,-39.2399999976
0.0800000000,1.5394003100,-0.7851037545,0.0004928143,0.0246450582,0.9999999998,-1.0313907377,-39.2399999971
0.0850000000,1.5353519042,-0.8342630633,0.0006280874,0.0295637419,0.9999999996,-1.0354368043,-39.2399999966
0.0900000000,1.5310576297,-0.8834522001,0.0007894775,0.0350979348,0.9999999993,-1.0397279273,-39.2399999961
0.0950000000,1.5265173227,-0.9326770714,0.0009801539,0.0412844134,0.9999999988,-1.0442640560,-39.2399999955
0.1000000000,1.5217307883,-0.9819443820,0.0012034704,0.0481601370,0.9999999980,-1.0490451297,-39.2399999948
0.1050000000,1.5166977956,-1.0312617047,0.0014629660,0.0557622845,0.9999999968,-1.0540710770,-39.2399999940
0.1100000000,1.5114180738,-1.0806375559,0.0017623663,0.0641282971,0.9999999948,-1.0593418138,-39.2399999932
0.1150000000,1.5058913067,-1.1300814752,0.0021055849,0.0732959256,0.9999999919,-1.0648572425,-39.2399999922
0.1200000000,1.5001171279,-1.1796041120,0.0024967251,0.0833032865,0.9999999876,-1.0706172499,-39.2399999912
0.1250000000,1.4940951147,-1.2292173176,0.0029400816,0.0941889244,0.9999999812,-1.0766217056,-39.2399999900
0.1300000000,1.4878247820,-1.2789342459,0.0034401432,0.1059918828,0.9999999720,-1.0828704605,-39.2399999887
0.1350000000,1.4813055752,-1.3287694606,0.0040015953,0.1187517853,0.9999999590,-1.0893633438,-39.2399999873
0.1400000000,1.4745368635,-1.3787390525,0.0046293230,0.1325089269,0.9999999406,-1.0961001620,-39.2399999857
0.1450000000,1.4675179313,-1.4288607657,0.0053284150,0.1473043764,0.9999999151,-1.1030806955,-39.2399999839
0.1500000000,1.4602479699,-1.4791541356,0.0061041672,0.1631800931,0.9999998801,-1.1103046966,-39.2399999820
0.1550000000,1.4527260682,-1.5296406389,0.0069620879,0.1801790577,0.9999998324,-1.1177718864,-39.2399999798
0.1600000000,1.4449512025,-1.5803438573,0.0079079033,0.1983454194,0.9999997682,-1.1254819518,-39.2399999774
0.1650000000,1.4369222255,-1.6312896570,0.0089475635,0.2177246625,0.9999996823,-1.1334345422,-39.2399999747
0.1700000000,1.4286378546,-1.6825063854,0.0100872496,0.2383637928,0.9999995684,-1.1416292658,-39.2399999718
0.1750000000,1.4200966586,-1.7340250882,0.0113333823,0.2603115480,0.9999994185,-1.1500656854,-39.2399999685
0.1800000000,1.4112970440,-1.7858797479,0.0126926305,0.2836186346,0.9999992227,-1.1587433146,-39.2399999649
0.1850000000,1.4022372394,-1.8381075489,0.0141719223,0.3083379942,0.9999989685,-1.1676616124,-39.2399999608
0.1900000000,1.3929152791,-1.8907491709,0.0157784565,0.3345251047,0.9999986407,-1.1768199780,-39.2399999564
0.1950000000,1.3833289842,-1.9438491154,0.0175197166,0.3622383187,0.9999982204,-1.1862177454,-39.2399999513
0.2000000000,1.3734759432,-1.9974560706,0.0194034856,0.3915392470,0.9999976843,-1.1958541764,-39.2399999457
0.2050000000,1.3633534900,-2.0516233196,0.0214378638,0.4224931911,0.9999970042,-1.2057284541,-39.2399999395
0.2100000000,1.3529586794,-2.1064091986,0.0236312880,0.4551696338,0.9999961455,-1.2158396742,-39.2399999325
0.2150000000,1.3422882609,-2.1618776136,0.0259925543,0.4896427952,0.9999950662,-1.2261868368,-39.2399999246
0.2200000000,1.3313386494,-2.2180986236,0.0285308427,0.5259922651,0.9999937157,-1.2367688360,-39.2399999158
0.2250000000,1.3201058928,-2.2751491019,0.0312557464,0.5643037223,0.9999920322,-1.2475844492,-39.2399999058
0.2300000000,1.3085856359,-2.3331134888,0.0341773037,0.6046697565,0.9999899419,-1.2586323243,-39.2399998945
0.2350000000,1.2967730806,-2.3920846495,0.0373060350,0.6471908083,0.9999873552,-1.2699109656,-39.2399998817
0.2400000000,1.2846629417,-2.4521648573,0.0406529850,0.6919762474,0.9999841650,-1.2814187179,-39.2399998671
0.2450000000,1.2722493965,-2.5134669225,0.0442297698,0.7391456132,0.9999802422,-1.2931537478,-39.2399998505
0.2500000000,1.2595260293,-2.5761154947,0.0480486319,0.7888300460,0.9999754324,-1.3051140235,-39.2399998315
0.2550000000,1.2464857685,-2.6402485692,0.0521225016,0.8411739439,0.9999695501,-1.3172972900,-39.2399998097
0.2600000000,1.2331208156,-2.7060192367,0.0564650685,0.8963368868,0.9999623735,-1.3297010420,-39.2399997846
0.2650000000,1.2194225646,-2.7735977233,0.0610908625,0.9544958783,0.9999536366,-1.3423224918,-39.2399997556
0.2700000000,1.2053815107,-2.8431737770,0.0660153474,1.0158479682,0.9999430209,-1.3551585315,-39.2399997219
0.2750000000,1.1909871460,-2.9149594723,0.0712550290,1.0806133307,0.9999301447,-1.3682056900,-39.2399996828
0.2800000000,1.1762278393,-2.9891925177,0.0768275788,1.1490388929,0.9999145502,-1.3814600814,-39.2399996371
0.2850000000,1.1610906990,-3.0661401720,0.0827519789,1.2214026267,0.9998956877,-1.3949173443,-39.2399995835
0.2900000000,1.1455614137,-3.1461039018,0.0890486891,1.2980186484,0.9998728962,-1.4085725700,-39.2399995205
0.2950000000,1.1296240679,-3.2294249409,0.0957398427,1.3792432998,0.9998453797,-1.4224202162,-39.2399994460
0.3000000000,1.1132609268,-3.3164909541,0.1028494752,1.4654824306,0.9998121767,-1.4364540033,-39.2399993577
0.3050000000,1.0964521847,-3.4077440540,0.1104037929,1.5572001510,0.9997721237,-1.4506667884,-39.2399992527
0.3100000000,1.0791756697,-3.5036904816,0.1184314898,1.6549293895,0.9997238073,-1.4650504128,-39.2399991274
0.3150000000,1.0614064943,-3.6049123298,0.1269641229,1.7592846658,0.9996655049,-1.4795955127,-39.2399989775
0.3200000000,1.0431166419,-3.7120817762,0.1360365572,1.8709775796,0.9995951079,-1.4942912862,-39.2399987980
0.3250000000,1.0242744744,-3.8259783817,0.1456874968,1.9908356123,0.9995100226,-1.5091252011,-39.2399985829
0.3300000000,1.0048441446,-3.9475101023,0.1559601195,2.1198249290,0.9994070413,-1.5240826274,-39.2399983259
0.3350000000,0.9847848927,-4.0777387234,0.1669028369,2.2590779280,0.9992821720,-1.5391463689,-39.2399980205
0.3400000000,0.9640502027,-4.2179103922,0.1785702059,2.4099262283,0.9991304121,-1.5542960617,-39.2399976621
0.3450000000,0.9425867932,-4.3694916849,0.1910240188,2.5739394950,0.9989454431,-1.5695073935,-39.2399972508
0.3500000000,0.9203334137,-4.5342109126,0.2043346028,2.7529696514,0.9987192150,-1.5847510793,-39.2399967986
0.3550000000,0.8972194250,-4.7141026364,0.2185823486,2.9491980381,0.9984413724,-1.5999915038,-39.2399963426
0.3600000000,0.8731631604,-4.9115495155,0.2338594698,3.1651787158,0.9980984521,-1.6151849035,-39.2399959716
0.3650000000,0.8480701106,-5.1293074865,0.2502719390,3.4038619324,0.9976727476,-1.6302769111,-39.2399958755
0.3700000000,0.8218310825,-5.3704835347,0.2679414246,3.6685629446,0.9971406845,-1.6451992166,-39.2399964351
0.3750000000,0.7943207119,-5.6384016609,0.2870067971,3.9628036239,0.9964704753,-1.6598650182,-39.2399983690
0.3800000000,0.7653971758,-5.9362272230,0.3076242428,4.2898810200,0.9956187239,-1.6741628685,-39.2400029213
0.3850000000,0.7349048712,-6.2661004158,0.3299639959,4.6518836207,0.9945255499,-1.6879485520,-39.2400119064
0.3900000000,0.7026835211,-6.6273404486,0.3541998006,5.0476651428,0.9931077852,-1.7010349939,-39.2400268609
